2026-05-27 21:32:24,696 | HTTP_CLIENT | INFO | Make POST request to http://localhost:8000/api/v1/users
2026-05-27 21:32:26,948 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:8000/api/v1/users
2026-05-27 21:32:27,100 | HTTP_CLIENT | INFO | Make POST request to http://localhost:8000/api/v1/authentication/login
2026-05-27 21:32:29,323 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:8000/api/v1/authentication/login
2026-05-27 21:32:29,477 | HTTP_CLIENT | INFO | Make POST request to http://localhost:8000/api/v1/files
2026-05-27 21:32:31,543 | HTTP_CLIENT | INFO | Got response 422 Unprocessable Content from http://localhost:8000/api/v1/files
2026-05-27 21:32:31,543 | BASE_ASSERTIONS | INFO | Check that response status code equals to 422
2026-05-27 21:32:31,544 | FILES_ASSERTIONS | INFO | Check create file with empty directory response
2026-05-27 21:32:31,544 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
