2026-05-27 21:31:37,599 | HTTP_CLIENT | INFO | Make POST request to http://localhost:8000/api/v1/users
2026-05-27 21:31:39,845 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:8000/api/v1/users
2026-05-27 21:31:40,009 | HTTP_CLIENT | INFO | Make POST request to http://localhost:8000/api/v1/authentication/login
2026-05-27 21:31:42,236 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:8000/api/v1/authentication/login
2026-05-27 21:31:42,237 | BASE_ASSERTIONS | INFO | Check that response status code equals to 200
2026-05-27 21:31:42,237 | BASE_ASSERTIONS | INFO | Check that "token_type" equals to bearer
2026-05-27 21:31:42,237 | BASE_ASSERTIONS | INFO | Check that "access_token" is true
2026-05-27 21:31:42,237 | BASE_ASSERTIONS | INFO | Check that "refresh_token" is true
2026-05-27 21:31:42,238 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
