2026-05-27 21:32:52,998 | HTTP_CLIENT | INFO | Make POST request to http://localhost:8000/api/v1/users
2026-05-27 21:32:55,244 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:8000/api/v1/users
2026-05-27 21:32:55,399 | HTTP_CLIENT | INFO | Make POST request to http://localhost:8000/api/v1/authentication/login
2026-05-27 21:32:57,607 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:8000/api/v1/authentication/login
2026-05-27 21:32:57,756 | HTTP_CLIENT | INFO | Make GET request to http://localhost:8000/api/v1/users/me
2026-05-27 21:32:59,821 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:8000/api/v1/users/me
2026-05-27 21:32:59,822 | BASE_ASSERTIONS | INFO | Check that response status code equals to 200
2026-05-27 21:32:59,822 | USERS_ASSERTIONS | INFO | Check get user response
2026-05-27 21:32:59,822 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
